24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
1430130000,73791220,qtum,1515372550,6555958804,,Qtum,3.21,-5.67,43.93,0.00546649,88.8447,15,QTUM,100291220,2018-01-08 08:49:10
197432000,16751036,bitcoin-gold,1515372556,5060957031,21000000.0,Bitcoin Gold,-0.17,1.39,14.59,0.0185895,302.128,16,BTG,16851036,2018-01-08 08:49:16
492362000,98954004,ethereum-classic,1515372547,4342853746,,Ethereum Classic,7.87,13.16,45.73,0.00270034,43.8876,17,ETC,98954004,2018-01-08 08:49:07
203862000,116766552,lisk,1515372546,3804359354,,Lisk,-3.45,2.4,60.2,0.00200466,32.5809,18,LSK,116766552,2018-01-08 08:49:06
286963000,378545005,icon,1515372555,3763509582,,ICON,-0.53,26.91,85.56,0.00061172,9.94204,19,ICX,400230000,2018-01-08 08:49:15
50287000,133248289,raiblocks,1515372549,3534051101,133248290.0,RaiBlocks,-2.42,-7.42,22.62,0.00163188,26.5223,20,XRB,133248289,2018-01-08 08:49:09
15990300000,16788575,bitcoin,1515372860,276501114820,21000000.0,Bitcoin,-0.29,-5.5,17.76,1.0,16469.6,1,BTC,16788575,2018-01-08 08:54:20
2306220000,38739144847,ripple,1515372841,128207199871,100000000000.0,Ripple,-2.06,5.23,45.45,0.00020358,3.3095,2,XRP,99993093880,2018-01-08 08:54:01
5910600000,96838515,ethereum,1515372849,117554209938,,Ethereum,5.68,15.71,60.86,0.0746713,1213.92,3,ETH,96838515,2018-01-08 08:54:09
1425760000,16899350,bitcoin-cash,1515372852,46846350148,21000000.0,Bitcoin Cash,-0.65,-0.52,9.99,0.170518,2772.08,4,BCH,16899350,2018-01-08 08:54:12
226224000,25927070538,cardano,1515372854,25476121000,45000000000.0,Cardano,-2.75,-3.65,36.81,6.044e-05,0.982607,5,ADA,31112483745,2018-01-08 08:54:14
123374000,8999999999,nem,1515372844,15991109998,,NEM,-2.85,8.39,70.73,0.0001093,1.77679,6,XEM,8999999999,2018-01-08 08:54:04
1036330000,54659733,litecoin,1515372841,15751076664,84000000.0,Litecoin,0.03,-3.6,24.98,0.0177258,288.166,7,LTC,54659733,2018-01-08 08:54:01
1788940000,65748192475,tron,1515372853,12487619945,,TRON,-2.9,8.03,322.49,1.168e-05,0.189931,8,TRX,100000000000,2018-01-08 08:54:13
342058000,17877858508,stellar,1515372843,12186442252,,Stellar,-2.68,-3.88,75.08,4.193e-05,0.68165,9,XLM,103570548975,2018-01-08 08:54:03
256670000,2779530283,iota,1515372850,11533605319,2779530283.0,IOTA,1.67,4.49,16.16,0.00025525,4.14948,10,MIOTA,2779530283,2018-01-08 08:54:10
230059000,7804681,dash,1515372842,10302880783,18900000.0,Dash,2.99,3.15,25.46,0.0812019,1320.09,11,DASH,7804681,2018-01-08 08:54:02
686591000,589006616,eos,1515372851,7343557787,1000000000.0,EOS,-0.76,-0.62,42.56,0.00076692,12.4677,12,EOS,900000000,2018-01-08 08:54:11
230099000,15575657,monero,1515372842,7304063988,,Monero,2.47,1.54,34.9,0.0288458,468.941,13,XMR,15575657,2018-01-08 08:54:02
198531000,65000000,neo,1515372847,6603025000,,NEO,-0.51,1.1,34.68,0.00624877,101.585,14,NEO,100000000,2018-01-08 08:54:07
1451010000,73791220,qtum,1515372850,6475511615,,Qtum,1.87,-6.94,42.18,0.00539801,87.7545,15,QTUM,100291220,2018-01-08 08:54:10
197102000,16751036,bitcoin-gold,1515372855,5054038854,21000000.0,Bitcoin Gold,-0.43,1.26,14.38,0.0185593,301.715,16,BTG,16851036,2018-01-08 08:54:15
497645000,98954004,ethereum-classic,1515372847,4350948183,,Ethereum Classic,7.93,13.34,45.76,0.00270468,43.9694,17,ETC,98954004,2018-01-08 08:54:07
204498000,116766552,lisk,1515372846,3798801266,,Lisk,-3.46,2.11,59.98,0.00200121,32.5333,18,LSK,116766552,2018-01-08 08:54:06
287497000,378545005,icon,1515372855,3764800420,,ICON,0.18,26.87,85.55,0.00061177,9.94545,19,ICX,400230000,2018-01-08 08:54:15
50177000,133248289,raiblocks,1515372849,3528494648,133248290.0,RaiBlocks,-2.43,-7.43,22.29,0.00162889,26.4806,20,XRB,133248289,2018-01-08 08:54:09
15592100000,16788587,bitcoin,1515373160,277412932729,21000000.0,Bitcoin,0.11,-5.17,18.16,1.0,16523.9,1,BTC,16788587,2018-01-08 08:59:20
2298050000,38739144847,ripple,1515373141,127701266639,100000000000.0,Ripple,-2.16,4.76,44.86,0.000203,3.29644,2,XRP,99993093880,2018-01-08 08:59:01
6007960000,96838727,ethereum,1515373149,120004487272,,Ethereum,7.18,18.05,64.21,0.0763128,1239.22,3,ETH,96838727,2018-01-08 08:59:09
1427740000,16899375,bitcoin-cash,1515373152,47118837375,21000000.0,Bitcoin Cash,0.02,0.03,10.63,0.171701,2788.2,4,BCH,16899375,2018-01-08 08:59:12
225991000,25927070538,cardano,1515373154,25388980116,45000000000.0,Cardano,-2.39,-4.0,36.38,6.03e-05,0.979246,5,ADA,31112483745,2018-01-08 08:59:14
123908000,8999999999,nem,1515373144,15851069998,,NEM,-3.45,7.45,69.13,0.00010846,1.76123,6,XEM,8999999999,2018-01-08 08:59:04
1037050000,54659933,litecoin,1515373141,15735501556,84000000.0,Litecoin,0.03,-3.72,24.84,0.017728,287.88,7,LTC,54659933,2018-01-08 08:59:01
342175000,17877859608,stellar,1515373143,12167563982,,Stellar,-2.48,-4.12,74.47,4.191e-05,0.680594,8,XLM,103570548975,2018-01-08 08:59:03
1754050000,65748192475,tron,1515373154,12153093142,,TRON,-6.74,5.08,310.67,1.138e-05,0.184843,9,TRX,100000000000,2018-01-08 08:59:14
258903000,2779530283,iota,1515373151,11632250848,2779530283.0,IOTA,2.54,5.4,17.13,0.00025772,4.18497,10,MIOTA,2779530283,2018-01-08 08:59:11
230885000,7804699,dash,1515373141,10303138705,18900000.0,Dash,2.97,3.15,25.45,0.0812948,1320.12,11,DASH,7804699,2018-01-08 08:59:01
683084000,589007455,eos,1515373151,7340858815,1000000000.0,EOS,-0.61,-0.83,42.49,0.00076749,12.4631,12,EOS,900000000,2018-01-08 08:59:11
230366000,15575717,monero,1515373142,7315992059,,Monero,2.7,1.46,35.12,0.0289251,469.705,13,XMR,15575717,2018-01-08 08:59:02
198454000,65000000,neo,1515373147,6609720000,,NEO,-0.34,1.05,34.85,0.00626209,101.688,14,NEO,100000000,2018-01-08 08:59:07
1397640000,73791260,qtum,1515373150,6431742150,,Qtum,1.14,-7.74,41.24,0.00536752,87.1613,15,QTUM,100291260,2018-01-08 08:59:10
196639000,16751036,bitcoin-gold,1515373155,5051392190,21000000.0,Bitcoin Gold,-0.48,1.1,14.26,0.0185703,301.557,16,BTG,16851036,2018-01-08 08:59:15
498284000,98954297,ethereum-classic,1515373147,4354186977,,Ethereum Classic,7.7,13.39,45.62,0.0027097,44.002,17,ETC,98954297,2018-01-08 08:59:07
295624000,378545005,icon,1515373155,3865928718,,ICON,3.06,30.06,90.48,0.00062891,10.2126,18,ICX,400230000,2018-01-08 08:59:15
204535000,116767032,lisk,1515373146,3762397245,,Lisk,-4.22,1.02,58.46,0.00198424,32.2214,19,LSK,116767032,2018-01-08 08:59:06
50120300,133248289,raiblocks,1515373149,3514263730,133248290.0,RaiBlocks,-2.64,-7.68,21.68,0.00162413,26.3738,20,XRB,133248289,2018-01-08 08:59:09
15979500000,16788587,bitcoin,1515373461,275488960659,21000000.0,Bitcoin,-0.48,-5.73,17.33,1.0,16409.3,1,BTC,16788587,2018-01-08 09:04:21
2280780000,38739144847,ripple,1515373441,126838545884,100000000000.0,Ripple,-2.4,3.95,43.88,0.00020235,3.27417,2,XRP,99993093880,2018-01-08 09:04:01
6066300000,96838727,ethereum,1515373449,120748208695,,Ethereum,7.32,18.74,65.15,0.0770618,1246.9,3,ETH,96838727,2018-01-08 09:04:09
1426690000,16899375,bitcoin-cash,1515373452,47227838344,21000000.0,Bitcoin Cash,0.29,0.22,10.89,0.172717,2794.65,4,BCH,16899375,2018-01-08 09:04:12
225115000,25927070538,cardano,1515373454,25081796184,45000000000.0,Cardano,-3.19,-5.2,34.77,5.979e-05,0.967398,5,ADA,31112483745,2018-01-08 09:04:14
1039570000,54659933,litecoin,1515373441,15712817684,84000000.0,Litecoin,-0.06,-3.86,24.66,0.0177661,287.465,6,LTC,54659933,2018-01-08 09:04:01
123699000,8999999999,nem,1515373444,15707699998,,NEM,-4.03,6.51,67.57,0.00010786,1.7453,7,XEM,8999999999,2018-01-08 09:04:04
1754170000,65748192475,tron,1515373454,12154473854,,TRON,-6.84,5.09,310.68,1.143e-05,0.184864,8,TRX,100000000000,2018-01-08 09:04:14
340820000,17877859608,stellar,1515373443,12148398917,,Stellar,-2.29,-4.36,73.83,4.2e-05,0.679522,9,XLM,103570548975,2018-01-08 09:04:03
259408000,2779530283,iota,1515373451,11645509208,2779530283.0,IOTA,2.63,5.54,17.27,0.00025894,4.18974,10,MIOTA,2779530283,2018-01-08 09:04:11
231762000,7804699,dash,1515373442,10300250967,18900000.0,Dash,2.74,3.06,25.43,0.0815642,1319.75,11,DASH,7804699,2018-01-08 09:04:02
677714000,589007455,eos,1515373451,7336205656,1000000000.0,EOS,-0.51,-1.03,42.41,0.00076977,12.4552,12,EOS,900000000,2018-01-08 09:04:11
228953000,15575717,monero,1515373442,7267551580,,Monero,2.0,0.59,34.22,0.0288369,466.595,13,XMR,15575717,2018-01-08 09:04:02
199354000,65000000,neo,1515373447,6628570000,,NEO,-0.11,1.33,35.21,0.00630252,101.978,14,NEO,100000000,2018-01-08 09:04:07
1410300000,73791260,qtum,1515373451,6458985883,,Qtum,1.39,-7.65,41.89,0.00540962,87.5305,15,QTUM,100291260,2018-01-08 09:04:11
196159000,16751036,bitcoin-gold,1515373455,5042514141,21000000.0,Bitcoin Gold,-0.66,0.86,14.05,0.0186043,301.027,16,BTG,16851036,2018-01-08 09:04:15
498560000,98954297,ethereum-classic,1515373447,4343341586,,Ethereum Classic,6.9,12.91,45.02,0.00271267,43.8924,17,ETC,98954297,2018-01-08 09:04:07
295492000,378545005,icon,1515373456,3848061394,,ICON,3.24,29.23,89.57,0.00062825,10.1654,18,ICX,400230000,2018-01-08 09:04:16
202300000,116767032,lisk,1515373446,3689382820,,Lisk,-5.94,-1.03,55.39,0.00195273,31.5961,19,LSK,116767032,2018-01-08 09:04:06
49996700,133248289,raiblocks,1515373449,3501205398,133248290.0,RaiBlocks,-2.81,-7.83,21.09,0.00162391,26.2758,20,XRB,133248289,2018-01-08 09:04:09
15931400000,16788587,bitcoin,1515373761,272698697500,21000000.0,Bitcoin,-1.28,-6.63,16.15,1.0,16243.1,1,BTC,16788587,2018-01-08 09:09:21
2284010000,38739144847,ripple,1515373741,127316586931,100000000000.0,Ripple,-1.91,4.33,44.41,0.00020465,3.28651,2,XRP,99993093880,2018-01-08 09:09:01
6117810000,96838727,ethereum,1515373750,119457348464,,Ethereum,5.51,17.42,63.34,0.0768137,1233.57,3,ETH,96838727,2018-01-08 09:09:10
1422420000,16899375,bitcoin-cash,1515373752,47048873963,21000000.0,Bitcoin Cash,0.05,-0.19,10.48,0.173363,2784.06,4,BCH,16899375,2018-01-08 09:09:12
224219000,25927070538,cardano,1515373755,24891413705,45000000000.0,Cardano,-3.36,-5.95,33.8,5.978e-05,0.960055,5,ADA,31112483745,2018-01-08 09:09:15
1038860000,54659933,litecoin,1515373741,15655752714,84000000.0,Litecoin,-0.39,-4.22,24.19,0.0178353,286.421,6,LTC,54659933,2018-01-08 09:09:01
123585000,8999999999,nem,1515373744,15631469998,,NEM,-4.09,6.01,66.72,0.00010815,1.73683,7,XEM,8999999999,2018-01-08 09:09:04
1780040000,65748192475,tron,1515373754,12328443571,,TRON,-6.22,6.51,316.35,1.168e-05,0.18751,8,TRX,100000000000,2018-01-08 09:09:14
342479000,17877859608,stellar,1515373743,12202836999,,Stellar,-1.47,-3.98,74.24,4.25e-05,0.682567,9,XLM,103570548975,2018-01-08 09:09:03
257709000,2779530283,iota,1515373750,11539414537,2779530283.0,IOTA,1.56,4.58,16.19,0.00025852,4.15157,10,MIOTA,2779530283,2018-01-08 09:09:10
230957000,7804699,dash,1515373741,10253110587,18900000.0,Dash,2.27,2.53,24.87,0.0818044,1313.71,11,DASH,7804699,2018-01-08 09:09:01
673066000,589007455,eos,1515373752,7299215988,1000000000.0,EOS,-0.82,-2.02,41.66,0.00077167,12.3924,12,EOS,900000000,2018-01-08 09:09:12
228083000,15575717,monero,1515373742,7233970334,,Monero,1.48,-0.08,33.61,0.0289204,464.439,13,XMR,15575717,2018-01-08 09:09:02
198652000,65000000,neo,1515373748,6607770000,,NEO,-0.38,0.82,34.85,0.00633022,101.658,14,NEO,100000000,2018-01-08 09:09:08
1358230000,73791260,qtum,1515373750,6538023702,,Qtum,2.2,-6.28,43.63,0.00551719,88.6016,15,QTUM,100291260,2018-01-08 09:09:10
195700000,16751036,bitcoin-gold,1515373755,5019816487,21000000.0,Bitcoin Gold,-0.93,0.34,13.48,0.0186605,299.672,16,BTG,16851036,2018-01-08 09:09:15
506709000,98954297,ethereum-classic,1515373747,4378074544,,Ethereum Classic,7.17,13.81,46.1,0.00275502,44.2434,17,ETC,98954297,2018-01-08 09:09:07
294651000,378545005,icon,1515373755,3834055229,,ICON,2.98,28.76,88.88,0.00063069,10.1284,18,ICX,400230000,2018-01-08 09:09:15
202325000,116767032,lisk,1515373746,3714557792,,Lisk,-5.16,-0.41,56.48,0.00198091,31.8117,19,LSK,116767032,2018-01-08 09:09:06
49682200,133248289,raiblocks,1515373749,3493117227,133248290.0,RaiBlocks,-2.71,-7.92,20.71,0.0016324,26.2151,20,XRB,133248289,2018-01-08 09:09:09
