24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
2087470000,96608790,ethereum,1514413449,72776947200,,Ethereum,-0.06,-2.01,-8.08,0.0492522,753.316,2,ETH,96608790,2017-12-28 06:24:09
2898700000,38739144847,ripple,1514413441,55656529402,100000000000.0,Ripple,1.77,25.55,76.63,9.393e-05,1.4367,3,XRP,99993093880,2017-12-28 06:24:01
1459220000,16879325,bitcoin-cash,1514413452,48082276402,21000000.0,Bitcoin Cash,1.0,-5.4,-26.56,0.186243,2848.59,4,BCH,16879325,2017-12-28 06:24:12
776138000,54500358,litecoin,1514413441,14771940575,84000000.0,Litecoin,0.5,-5.1,-15.2,0.017721,271.043,5,LTC,54500358,2017-12-28 06:24:01
81774500,25927070538,cardano,1514413455,10677597314,45000000000.0,Cardano,0.67,-2.58,-14.29,2.693e-05,0.411832,6,ADA,31112483745,2017-12-28 06:24:15
300399000,2779530283,iota,1514413451,10590733056,2779530283.0,IOTA,0.63,1.8,-25.33,0.00024912,3.81026,7,MIOTA,2779530283,2017-12-28 06:24:11
213330000,7778935,dash,1514413441,9163740933,18900000.0,Dash,0.05,-2.11,-24.59,0.0770198,1178.02,8,DASH,7778935,2017-12-28 06:24:01
54085600,8999999999,nem,1514413444,8482778999,,NEM,0.97,-1.09,0.26,6.162e-05,0.942531,9,XEM,8999999999,2017-12-28 06:24:04
243305000,15529227,monero,1514413442,6324324137,,Monero,0.84,8.74,-9.74,0.0266265,407.253,10,XMR,15529227,2017-12-28 06:24:02
522646000,566937588,eos,1514413451,5924611178,,EOS,0.43,7.21,-12.76,0.00068324,10.4502,11,EOS,1000000000,2017-12-28 06:24:11
133325000,16730699,bitcoin-gold,1514413455,5288573824,21000000.0,Bitcoin Gold,0.76,3.03,-30.88,0.0206668,316.1,12,BTG,16830699,2017-12-28 06:24:15
158049000,65000000,neo,1514413447,4294361500,,NEO,2.18,4.28,-9.52,0.0043195,66.0671,13,NEO,100000000,2017-12-28 06:24:07
77709900,17858987467,stellar,1514413443,4117978907,,Stellar,3.53,4.26,-9.66,1.508e-05,0.230583,14,XLM,103550799663,2017-12-28 06:24:03
532463000,73764516,qtum,1514413451,3963197786,,Qtum,0.28,-3.79,-17.06,0.00351275,53.7277,15,QTUM,100264516,2017-12-28 06:24:11
215178000,98686558,ethereum-classic,1514413446,3130505387,,Ethereum Classic,0.37,-3.09,-26.57,0.00207399,31.7217,16,ETC,98686558,2017-12-28 06:24:06
77068000,116384684,lisk,1514413446,2774971659,,Lisk,1.1,0.77,21.14,0.00155888,23.8431,17,LSK,116384684,2017-12-28 06:24:06
68830500,6025054,bitconnect,1514413448,2497481473,28000000.0,BitConnect,1.52,0.39,13.49,0.0271013,414.516,18,BCC,9417961,2017-12-28 06:24:08
174339000,65748192475,tron,1514413453,2399263315,,TRON,0.31,-1.96,-20.68,2.39e-06,0.0364917,19,TRX,100000000000,2017-12-28 06:24:13
417151000,14398273770,verge,1514413444,2157595723,16555000000.0,Verge,3.75,-20.92,2.79,9.8e-06,0.149851,20,XVG,14398273770,2017-12-28 06:24:04
12272700000,16766587,bitcoin,1514413760,263572424299,21000000.0,Bitcoin,1.42,-3.12,-6.12,1.0,15720.1,1,BTC,16766587,2017-12-28 06:29:20
2090340000,96608790,ethereum,1514413748,72942341448,,Ethereum,0.01,-1.79,-7.9,0.0493107,755.028,2,ETH,96608790,2017-12-28 06:29:08
2866150000,38739144847,ripple,1514413741,55128902249,100000000000.0,Ripple,0.54,24.09,74.65,9.294e-05,1.42308,3,XRP,99993093880,2017-12-28 06:29:01
1462970000,16879325,bitcoin-cash,1514413752,48267442597,21000000.0,Bitcoin Cash,1.18,-5.15,-26.21,0.186757,2859.56,4,BCH,16879325,2017-12-28 06:29:12
775181000,54500358,litecoin,1514413741,14778862120,84000000.0,Litecoin,0.35,-5.05,-15.17,0.0177101,271.17,5,LTC,54500358,2017-12-28 06:29:01
302932000,2779530283,iota,1514413751,10690351421,2779530283.0,IOTA,1.36,2.66,-24.64,0.00025119,3.8461,6,MIOTA,2779530283,2017-12-28 06:29:11
81795700,25927070538,cardano,1514413754,10661159551,45000000000.0,Cardano,0.54,-2.78,-14.48,2.686e-05,0.411198,7,ADA,31112483745,2017-12-28 06:29:14
213173000,7778935,dash,1514413741,9170353027,18900000.0,Dash,0.04,-2.11,-24.55,0.0769916,1178.87,8,DASH,7778935,2017-12-28 06:29:01
54277100,8999999999,nem,1514413744,8486711999,,NEM,0.8,-1.21,0.26,6.159e-05,0.942968,9,XEM,8999999999,2017-12-28 06:29:04
243345000,15529227,monero,1514413742,6340443475,,Monero,0.94,8.97,-9.57,0.0266654,408.291,10,XMR,15529227,2017-12-28 06:29:02
522590000,566937588,eos,1514413751,5916050421,,EOS,0.25,6.99,-12.86,0.00068152,10.4351,11,EOS,1000000000,2017-12-28 06:29:11
133136000,16730699,bitcoin-gold,1514413754,5277983292,21000000.0,Bitcoin Gold,0.44,2.84,-30.99,0.020603,315.467,12,BTG,16830699,2017-12-28 06:29:14
