24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
16254200000,16755887,bitcoin,1513909758,249022641417,21000000.0,Bitcoin,-1.52,-10.99,-13.03,1.0,14861.8,1,BTC,16755887,2017-12-22 10:29:18
3519280000,96488899,ethereum,1513909767,74885034562,,Ethereum,-1.94,-5.81,15.62,0.0525212,776.1,2,ETH,96488899,2017-12-22 10:29:27
5204620000,38739144847,ripple,1513909741,52271502925,100000000000.0,Ripple,9.34,48.7,70.59,9.131e-05,1.34932,3,XRP,99993093880,2017-12-22 10:29:01
3414970000,16868938,bitcoin-cash,1513909767,50694362286,21000000.0,Bitcoin Cash,-3.29,-19.06,65.06,0.203371,3005.19,4,BCH,16868938,2017-12-22 10:29:27
1504250000,54412658,litecoin,1513909742,15918640793,84000000.0,Litecoin,-3.55,-8.73,6.99,0.0197981,292.554,5,LTC,54412658,2017-12-22 10:29:02
437144000,2779530283,iota,1513909764,13263112447,2779530283.0,IOTA,-1.35,-6.41,31.82,0.00032292,4.77171,6,MIOTA,2779530283,2017-12-22 10:29:24
148927000,25927070538,cardano,1513909775,11603453003,45000000000.0,Cardano,-1.18,-10.86,114.78,3.029e-05,0.447542,7,ADA,31112483745,2017-12-22 10:29:35
459732000,7767445,dash,1513909743,10383676479,18900000.0,Dash,-2.59,-14.64,48.42,0.0904669,1336.82,8,DASH,7767445,2017-12-22 10:29:03
114747000,8999999999,nem,1513909748,8566388999,,NEM,-1.89,-1.94,66.99,6.441e-05,0.951821,9,XEM,8999999999,2017-12-22 10:29:08
318181000,16719924,bitcoin-gold,1513909774,6101601715,21000000.0,Bitcoin Gold,-6.23,-16.79,21.37,0.024696,364.93,10,BTG,16819924,2017-12-22 10:29:34
326176000,15505285,monero,1513909744,5953502200,,Monero,-1.45,-16.27,23.14,0.0259843,383.966,11,XMR,15505285,2017-12-22 10:29:04
337356000,554730010,eos,1513909765,5496791932,,EOS,-2.44,-16.37,24.75,0.00067057,9.90895,12,EOS,1000000000,2017-12-22 10:29:25
222114000,17858784890,stellar,1513909747,4723541451,,Stellar,-1.09,0.44,44.8,1.79e-05,0.264494,13,XLM,103531054117,2017-12-22 10:29:07
832739000,73750516,qtum,1513909763,4355963602,,Qtum,-0.17,-10.58,209.74,0.00399702,59.0635,14,QTUM,100250516,2017-12-22 10:29:23
216099000,65000000,neo,1513909756,4206637500,,NEO,-3.1,-15.19,36.29,0.00437965,64.7175,15,NEO,100000000,2017-12-22 10:29:16
799952000,98545344,ethereum-classic,1513909755,3896000030,,Ethereum Classic,-2.87,-8.93,29.05,0.00267547,39.5351,16,ETC,98545344,2017-12-22 10:29:15
194788000,116183496,lisk,1513909753,2735447467,,Lisk,0.32,15.23,124.44,0.00159331,23.5442,17,LSK,116183496,2017-12-22 10:29:13
