24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
21701700000,16754062,bitcoin,1513816757,280841639681,21000000.0,Bitcoin,0.69,-2.14,1.96,1.0,16762.6,1,BTC,16754062,2017-12-21 08:39:17
3839660000,96467120,ethereum,1513816753,79077957179,,Ethereum,0.63,3.34,14.87,0.0492856,819.74,2,ETH,96467120,2017-12-21 08:39:13
11003000000,16867175,bitcoin-cash,1513816769,63797896705,21000000.0,Bitcoin Cash,-2.18,16.69,129.76,0.227409,3782.37,3,BCH,16867175,2017-12-21 08:39:29
1025220000,38739144847,ripple,1513816741,30989378920,100000000000.0,Ripple,3.41,5.09,61.01,4.81e-05,0.79995,4,XRP,99993093880,2017-12-21 08:39:01
2067600000,54397558,litecoin,1513816742,17510519572,84000000.0,Litecoin,2.24,-3.17,5.62,0.0193537,321.899,5,LTC,54397558,2017-12-21 08:39:02
584082000,2779530283,iota,1513816767,14006998136,2779530283.0,IOTA,-1.05,-0.3,23.24,0.00030298,5.03934,6,MIOTA,2779530283,2017-12-21 08:39:27
179596000,25927070538,cardano,1513816775,12588526121,45000000000.0,Cardano,2.18,-1.16,259.38,2.919e-05,0.485536,7,ADA,31112483745,2017-12-21 08:39:35
790938000,7765318,dash,1513816743,11895456983,18900000.0,Dash,-1.25,27.3,69.52,0.0921015,1531.87,8,DASH,7765318,2017-12-21 08:39:03
125138000,8999999999,nem,1513816758,8810810999,,NEM,6.7,10.68,83.93,5.886e-05,0.978979,9,XEM,8999999999,2017-12-21 08:39:18
956089000,16717861,bitcoin-gold,1513816775,7343019562,21000000.0,Bitcoin Gold,-3.38,21.56,57.51,0.0264082,439.232,10,BTG,16817861,2017-12-21 08:39:35
494507000,15503540,monero,1513816745,7093055718,,Monero,-2.33,26.43,44.89,0.0275072,457.512,11,XMR,15503540,2017-12-21 08:39:05
778589000,551272870,eos,1513816767,6814394203,,EOS,2.62,5.58,75.59,0.0007432,12.3612,12,EOS,1000000000,2017-12-21 08:39:27
1129260000,73747928,qtum,1513816764,5006068351,,Qtum,6.58,7.16,285.45,0.00408123,67.8808,13,QTUM,100247928,2017-12-21 08:39:24
