24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
10969600000,16776487,bitcoin,1514854761,234714796671,21000000.0,Bitcoin,2.29,0.57,-2.8,1.0,13990.7,1,BTC,16776487,2018-01-02 08:59:21
2028120000,38739144847,ripple,1514854741,90634878067,100000000000.0,Ripple,-0.8,2.55,112.94,0.00016873,2.33962,2,XRP,99993093880,2018-01-02 08:59:01
2751810000,96713667,ethereum,1514854750,77380508277,,Ethereum,3.38,6.78,3.94,0.0577022,800.099,3,ETH,96713667,2018-01-02 08:59:10
996625000,16888475,bitcoin-cash,1514854753,41774487336,21000000.0,Bitcoin Cash,1.35,-1.6,-16.87,0.178389,2473.55,4,BCH,16888475,2018-01-02 08:59:13
156063000,25927070538,cardano,1514854755,19298426049,45000000000.0,Cardano,1.97,4.75,77.87,5.368e-05,0.744335,5,ADA,31112483745,2018-01-02 08:59:15
652317000,54574333,litecoin,1514854741,12838502726,84000000.0,Litecoin,2.37,3.24,-14.99,0.0169658,235.248,6,LTC,54574333,2018-01-02 08:59:01
272958000,2779530283,iota,1514854751,11347182223,2779530283.0,IOTA,1.03,15.44,13.74,0.00029442,4.08241,7,MIOTA,2779530283,2018-01-02 08:59:11
70594600,8999999999,nem,1514854744,9985769999,,NEM,5.82,7.0,11.4,8.002e-05,1.10953,8,XEM,8999999999,2018-01-02 08:59:04
666948000,17859118902,stellar,1514854743,8919576204,,Stellar,1.96,31.27,119.44,3.602e-05,0.499441,9,XLM,103570548975,2018-01-02 08:59:03
142289000,7789020,dash,1514854741,8462380342,18900000.0,Dash,2.73,4.78,-8.55,0.0783537,1086.45,10,DASH,7789020,2018-01-02 08:59:01
120334000,15546731,monero,1514854742,5823385643,,Monero,3.68,8.73,2.78,0.0270138,374.573,11,XMR,15546731,2018-01-02 08:59:02
149140000,65000000,neo,1514854747,5260118500,,NEO,2.4,8.32,24.2,0.00583621,80.9249,12,NEO,100000000,2018-01-02 08:59:07
345617000,577171214,eos,1514854751,5248558382,1000000000.0,EOS,2.19,5.17,-3.85,0.00065582,9.09359,13,EOS,900000000,2018-01-02 08:59:11
147432000,16740124,bitcoin-gold,1514854756,4636779872,21000000.0,Bitcoin Gold,0.87,6.94,-9.51,0.0199759,276.986,14,BTG,16840124,2018-01-02 08:59:16
