24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
19257100000,16752562,bitcoin,1513740557,289412235343,21000000.0,Bitcoin,1.7,-9.29,0.74,1.0,17275.7,1,BTC,16752562,2017-12-20 11:29:17
4282430000,96448660,ethereum,1513740553,77602688108,,Ethereum,0.77,-1.75,27.52,0.0469931,804.601,2,ETH,96448660,2017-12-20 11:29:13
7093140000,16865488,bitcoin-cash,1513740569,55838761980,21000000.0,Bitcoin Cash,-5.38,50.63,110.49,0.19337,3310.83,3,BCH,16865488,2017-12-20 11:29:29
1469760000,38739144847,ripple,1513740541,30072152188,100000000000.0,Ripple,2.26,-4.56,95.53,4.534e-05,0.776273,4,XRP,99993093880,2017-12-20 11:29:01
2303610000,54384658,litecoin,1513740541,18261552438,84000000.0,Litecoin,1.97,-7.24,7.35,0.0196117,335.785,5,LTC,54384658,2017-12-20 11:29:01
1111910000,2779530283,iota,1513740565,14109701780,2779530283.0,IOTA,3.36,20.11,14.0,0.00029648,5.07629,6,MIOTA,2779530283,2017-12-20 11:29:25
220452000,25927070538,cardano,1513740572,13306342996,45000000000.0,Cardano,3.09,-7.96,299.63,2.998e-05,0.513222,7,ADA,31112483745,2017-12-20 11:29:32
370348000,7763581,dash,1513740542,9797250941,18900000.0,Dash,0.52,4.14,44.5,0.0737047,1261.95,8,DASH,7763581,2017-12-20 11:29:02
207132000,8999999999,nem,1513740568,8227889999,,NEM,0.91,-2.78,72.12,5.339e-05,0.91421,9,XEM,8999999999,2017-12-20 11:29:28
711351000,16716249,bitcoin-gold,1513740575,7236982218,21000000.0,Bitcoin Gold,0.1,30.9,60.36,0.0252855,432.931,10,BTG,16816249,2017-12-20 11:29:35
467720000,15499806,monero,1513740544,6430854136,,Monero,11.54,8.68,37.38,0.0242324,414.899,11,XMR,15499806,2017-12-20 11:29:04
1452660000,550917076,eos,1513740566,6414933530,,EOS,5.15,16.29,106.78,0.00068008,11.6441,12,EOS,1000000000,2017-12-20 11:29:26
1659280000,73745816,qtum,1513740563,4707689532,,Qtum,3.24,-9.41,307.15,0.00372841,63.8367,13,QTUM,100245816,2017-12-20 11:29:23
272208000,65000000,neo,1513740556,4472916500,,NEO,3.78,-14.02,74.14,0.00401912,68.8141,14,NEO,100000000,2017-12-20 11:29:16
217260000,17858673190,stellar,1513740545,4459399989,,Stellar,3.76,-13.39,65.6,1.458e-05,0.249705,15,XLM,103531054117,2017-12-20 11:29:05
841913000,98498196,ethereum-classic,1513740557,3926935928,,Ethereum Classic,2.14,-5.1,34.96,0.00232851,39.8681,16,ETC,98498196,2017-12-20 11:29:17
108106000,65748192475,tron,1513740571,2570852948,,TRON,2.33,-20.81,430.36,2.28e-06,0.0391015,17,TRX,100000000000,2017-12-20 11:29:31
106931000,116115976,lisk,1513740552,2071729632,,Lisk,6.25,-1.6,94.76,0.00104206,17.8419,18,LSK,116115976,2017-12-20 11:29:12
23032900,4803272,bitconnect,1513740559,1801875358,28000000.0,BitConnect,1.21,-11.29,-1.88,0.02191,375.135,19,BCC,9155434,2017-12-20 11:29:19
323316000,2872831,zcash,1513740567,1770692524,,Zcash,2.18,4.79,65.54,0.0359987,616.358,20,ZEC,2872831,2017-12-20 11:29:27
19216700000,16752562,bitcoin,1513740856,288549478400,21000000.0,Bitcoin,1.26,-9.56,0.46,1.0,17224.2,1,BTC,16752562,2017-12-20 11:34:16
4277740000,96448660,ethereum,1513740853,77716304629,,Ethereum,0.91,-1.66,27.6,0.0471058,805.779,2,ETH,96448660,2017-12-20 11:34:13
7181760000,16865488,bitcoin-cash,1513740869,56829103406,21000000.0,Bitcoin Cash,-4.04,53.4,114.28,0.196984,3369.55,3,BCH,16865488,2017-12-20 11:34:29
1463760000,38739144847,ripple,1513740841,30048947440,100000000000.0,Ripple,1.89,-4.77,94.91,4.535e-05,0.775674,4,XRP,99993093880,2017-12-20 11:34:01
2301750000,54384658,litecoin,1513740841,18280151991,84000000.0,Litecoin,1.63,-7.26,7.54,0.01965,336.127,5,LTC,54384658,2017-12-20 11:34:01
1136700000,2779530283,iota,1513740864,14438270055,2779530283.0,IOTA,5.1,22.9,16.68,0.00030367,5.1945,6,MIOTA,2779530283,2017-12-20 11:34:24
218093000,25927070538,cardano,1513740872,13213912989,45000000000.0,Cardano,1.86,-8.84,296.88,2.979e-05,0.509657,7,ADA,31112483745,2017-12-20 11:34:32
