24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
18691800000,16790837,bitcoin,1515466461,258239714893,21000000.0,Bitcoin,0.08,-4.62,12.56,1.0,15379.8,1,BTC,16790837,2018-01-09 10:54:21
8196470000,96860854,ethereum,1515466449,115108470024,,Ethereum,1.21,-2.86,41.59,0.0777509,1188.39,2,ETH,96860854,2018-01-09 10:54:09
3399320000,38739144847,ripple,1515466441,95405216363,100000000000.0,Ripple,-0.06,-23.96,7.95,0.00016113,2.46276,3,XRP,99993093880,2018-01-09 10:54:01
1405260000,16901075,bitcoin-cash,1515466454,40699309697,21000000.0,Bitcoin Cash,-0.59,-12.76,-2.62,0.15755,2408.09,4,BCH,16901075,2018-01-09 10:54:14
258126000,25927070538,cardano,1515466455,23441053379,45000000000.0,Cardano,-0.35,-6.01,25.77,5.915e-05,0.904115,5,ADA,31112483745,2018-01-09 10:54:15
83724100,8999999999,nem,1515466444,15149069998,,NEM,-0.08,-3.3,57.16,0.00011013,1.68323,6,XEM,8999999999,2018-01-09 10:54:04
1147450000,54674908,litecoin,1515466441,14019685274,84000000.0,Litecoin,-0.19,-9.45,6.58,0.0167763,256.419,7,LTC,54674908,2018-01-09 10:54:01
251140000,17880094083,stellar,1515466443,11335657807,,Stellar,0.08,-6.02,28.6,4.148e-05,0.633982,8,XLM,103590302054,2018-01-09 10:54:03
309753000,2779530283,iota,1515466451,10829995023,2779530283.0,IOTA,0.53,-4.64,-3.49,0.00025492,3.89634,9,MIOTA,2779530283,2018-01-09 10:54:11
1395130000,65748192475,tron,1515466454,10089520373,,TRON,5.0,-13.66,178.54,1.004e-05,0.153457,10,TRX,100000000000,2018-01-09 10:54:14
215607000,7806796,dash,1515466442,8642512969,18900000.0,Dash,1.51,-14.13,0.9,0.0724291,1107.05,11,DASH,7806796,2018-01-09 10:54:02
286584000,65000000,neo,1515466447,7388550000,,NEO,1.71,12.93,36.97,0.0074369,113.67,12,NEO,100000000,2018-01-09 10:54:07
302669000,15579551,monero,1515466442,6744636744,,Monero,6.31,-4.86,16.49,0.0283236,432.916,13,XMR,15579551,2018-01-09 10:54:02
689246000,591032176,eos,1515466452,5636029641,1000000000.0,EOS,-0.35,-20.92,2.69,0.00062389,9.53591,14,EOS,900000000,2018-01-09 10:54:12
256403000,378545005,icon,1515466456,4345015276,,ICON,1.93,12.16,80.29,0.00075096,11.4782,15,ICX,400230000,2018-01-09 10:54:16
1072490000,73793852,qtum,1515466451,4241095021,,Qtum,0.8,-31.01,-6.59,0.00376013,57.4722,16,QTUM,100293852,2018-01-09 10:54:11
162618000,16753474,bitcoin-gold,1515466456,4054005539,21000000.0,Bitcoin Gold,0.32,-18.71,-12.9,0.0158316,241.98,17,BTG,16853474,2018-01-09 10:54:16
132940000,116803892,lisk,1515466446,3626562280,,Lisk,0.1,-2.9,45.12,0.00203134,31.0483,18,LSK,116803892,2018-01-09 10:54:06
42449100,133248289,raiblocks,1515466449,3504709828,133248290.0,RaiBlocks,0.53,2.03,-18.14,0.00172082,26.3021,19,XRB,133248289,2018-01-09 10:54:09
732475000,98980096,ethereum-classic,1515466448,3382674475,,Ethereum Classic,-0.05,-20.86,-3.45,0.00223593,34.1753,20,ETC,98980096,2018-01-09 10:54:08
8213160000,96861106,ethereum,1515466749,115351891655,,Ethereum,1.48,-2.76,41.78,0.0777817,1190.9,2,ETH,96861106,2018-01-09 10:59:09
3395500000,38739144847,ripple,1515466741,95425360719,100000000000.0,Ripple,0.15,-23.89,7.94,0.00016088,2.46328,3,XRP,99993093880,2018-01-09 10:59:01
84021300,8999999999,nem,1515466744,15234389998,,NEM,0.59,-2.72,57.99,0.00011056,1.69271,6,XEM,8999999999,2018-01-09 10:59:04
1143430000,54675083,litecoin,1515466741,14021097024,84000000.0,Litecoin,-0.22,-9.38,6.54,0.0167492,256.444,7,LTC,54675083,2018-01-09 10:59:01
251336000,17880094683,stellar,1515466743,11346994167,,Stellar,0.45,-5.88,28.73,4.145e-05,0.634616,8,XLM,103590302054,2018-01-09 10:59:03
309035000,2779530283,iota,1515466751,10798308378,2779530283.0,IOTA,0.36,-4.9,-3.68,0.00025374,3.88494,9,MIOTA,2779530283,2018-01-09 10:59:11
215819000,7806817,dash,1515466741,8644488606,18900000.0,Dash,1.51,-14.09,0.9,0.0723214,1107.3,11,DASH,7806817,2018-01-09 10:59:01
287257000,65000000,neo,1515466747,7399080000,,NEO,1.12,13.16,37.05,0.00743475,113.832,12,NEO,100000000,2018-01-09 10:59:07
305685000,15579578,monero,1515466742,6745256174,,Monero,5.61,-4.79,16.46,0.0282777,432.955,13,XMR,15579578,2018-01-09 10:59:02
688793000,591035936,eos,1515466751,5629481354,1000000000.0,EOS,-0.48,-20.98,2.54,0.00062209,9.52477,14,EOS,900000000,2018-01-09 10:59:11
