24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
12708200000,16767425,bitcoin,1514454560,247497253455,21000000.0,Bitcoin,1.92,-9.76,-12.6,1.0,14760.6,1,BTC,16767425,2017-12-28 17:49:20
2273050000,96618492,ethereum,1514454549,70295460070,,Ethereum,0.98,-6.44,-15.44,0.0501569,727.557,2,ETH,96618492,2017-12-28 17:49:09
2896740000,38739144847,ripple,1514454540,52420261241,100000000000.0,Ripple,0.32,8.55,31.8,9.328e-05,1.35316,3,XRP,99993093880,2017-12-28 17:49:00
1483670000,16880225,bitcoin-cash,1514454552,45185661489,21000000.0,Bitcoin Cash,1.18,-10.6,-26.12,0.184538,2676.84,4,BCH,16880225,2017-12-28 17:49:12
888185000,54507383,litecoin,1514454541,14083726674,84000000.0,Litecoin,1.93,-9.45,-21.16,0.0178126,258.382,5,LTC,54507383,2017-12-28 17:49:01
84103800,25927070538,cardano,1514454554,10137432726,45000000000.0,Cardano,1.53,-7.49,-20.86,2.695e-05,0.390998,6,ADA,31112483745,2017-12-28 17:49:14
259991000,2779530283,iota,1514454551,9778192968,2779530283.0,IOTA,2.2,-17.37,-33.02,0.00024252,3.51793,7,MIOTA,2779530283,2017-12-28 17:49:11
186300000,7779857,dash,1514454541,8683721111,18900000.0,Dash,2.13,-9.31,-26.94,0.0769484,1116.18,8,DASH,7779857,2017-12-28 17:49:01
59963200,8999999999,nem,1514454544,8023985999,,NEM,1.73,-7.24,-10.17,6.146e-05,0.891554,9,XEM,8999999999,2017-12-28 17:49:04
171980000,15529227,monero,1514454543,5853571161,,Monero,1.22,-9.56,-17.37,0.0259857,376.939,10,XMR,15529227,2017-12-28 17:49:03
531594000,567286798,eos,1514454552,5449192466,,EOS,0.34,-8.68,-15.05,0.00066221,9.60571,11,EOS,1000000000,2017-12-28 17:49:12
171161000,16731486,bitcoin-gold,1514454555,4881176826,21000000.0,Bitcoin Gold,1.08,-4.5,-33.72,0.0201119,291.736,12,BTG,16831486,2017-12-28 17:49:15
124082000,65000000,neo,1514454547,3974672000,,NEO,1.15,-10.69,-18.74,0.00421553,61.1488,13,NEO,100000000,2017-12-28 17:49:07
691515000,73765680,qtum,1514454550,3807754895,,Qtum,0.9,-5.42,-20.54,0.00355859,51.6196,14,QTUM,100265680,2017-12-28 17:49:10
77823400,17858981317,stellar,1514454543,3779656947,,Stellar,1.98,-5.43,-20.38,1.459e-05,0.211639,15,XLM,103550799663,2017-12-28 17:49:03
261484000,98697989,ethereum-classic,1514454547,3039266394,,Ethereum Classic,1.42,-5.96,-32.21,0.00212287,30.7936,16,ETC,98697989,2017-12-28 17:49:07
54835300,6180818,bitconnect,1514454549,2937551044,28000000.0,BitConnect,0.97,9.25,28.94,0.0327645,475.269,17,BCC,9419164,2017-12-28 17:49:09
64967100,116401000,lisk,1514454546,2663417841,,Lisk,0.55,-6.41,-3.28,0.00157742,22.8814,18,LSK,116401000,2017-12-28 17:49:06
